"","Customer_Name","Number_of_Rentals","Actor_Name"
"586","Felicia Sutton",2,"Mary Keitel"
"587","Roberta Harper",2,"Mary Keitel"
"588","Jo Fowler",2,"Mary Keitel"
"589","Cynthia Young",2,"Gina Degeneres"
"590","Terri Vasquez",2,"Henry Berry"
"591","Geraldine Perkins",2,"Val Bolger"
"592","Jane Bennett",2,"Mary Keitel"
"593","Carlos Coughlin",2,"Sandra Kilmer"
"594","Hugh Waldrop",2,"Gina Degeneres"
"595","Sonia Gregory",2,"Matthew Carrey"
"596","Julio Noland",2,"Sean Guiness"
"597","Tracy Cole",2,"Jayne Nolte"
"598","Joshua Mark",2,"Angela Witherspoon"
"599","Eleanor Hunt",2,"Angela Witherspoon"
"600","John Farnsworth",2,"Matthew Carrey"
"601","Miguel Betancourt",2,"Henry Berry"
"602","Russell Brinson",2,"Sean Guiness"
"603","Jonathan Scarborough",2,"Val Bolger"
"604","Cory Meehan",2,"Sandra Kilmer"
"605","Edgar Rhoads",2,"Matthew Carrey"
"606","Billie Horton",2,"Gina Degeneres"
"607","Javier Elrod",2,"Mary Keitel"
"608","Dan Paine",2,"Gina Degeneres"
"609","Leonard Schofield",2,"Henry Berry"
"610","Marcia Dean",2,"Walter Torn"
"611","Marsha Douglas",2,"Matthew Carrey"
"612","Rita Graham",2,"Mary Keitel"
"613","Glenda Frazier",2,"Val Bolger"
"614","Karl Seal",2,"Val Bolger"
"615","Paul Trout",2,"Matthew Carrey"
"616","Freddie Duggan",2,"Angela Witherspoon"
"617","Regina Berry",2,"Sean Guiness"
"618","Ella Oliver",2,"Sean Guiness"
"619","Walter Perryman",2,"Gina Degeneres"
"620","Louis Leone",2,"Gina Degeneres"
"621","Pedro Chestnut",2,"Gina Degeneres"
"622","Holly Fox",2,"Gina Degeneres"
"623","Joshua Mark",2,"Sandra Kilmer"
"624","Rick Mattox",2,"Angela Witherspoon"
"625","June Carroll",2,"Henry Berry"
"626","Johnny Turpin",2,"Walter Torn"
"627","Roy Whiting",2,"Henry Berry"
"628","Brad Mccurdy",2,"Mary Keitel"
"629","Wallace Slone",2,"Sandra Kilmer"
"630","Phillip Holm",2,"Gina Degeneres"
"631","Mike Way",2,"Matthew Carrey"
"632","Brandon Huey",2,"Henry Berry"
"633","Dorothy Taylor",2,"Matthew Carrey"
"634","Travis Estep",2,"Angela Witherspoon"
"635","Violet Rodriquez",2,"Val Bolger"
"636","Clayton Barbee",2,"Matthew Carrey"
"637","Jason Morrissey",2,"Val Bolger"
"638","Jessica Hall",2,"Gina Degeneres"
"639","Barbara Jones",2,"Sean Guiness"
"640","Claudia Fuller",2,"Angela Witherspoon"
"641","Jon Wiles",2,"Angela Witherspoon"
"642","Joanne Robertson",2,"Val Bolger"
"643","Gladys Hamilton",2,"Sandra Kilmer"
"644","Brandy Graves",2,"Angela Witherspoon"
"645","Ian Still",2,"Gina Degeneres"
"646","Stephen Qualls",2,"Gina Degeneres"
"647","Megan Palmer",2,"Gina Degeneres"
"648","Pamela Baker",2,"Val Bolger"
"649","Rachel Barnes",2,"Matthew Carrey"
"650","Shannon Freeman",2,"Sandra Kilmer"
"651","Deanna Byrd",2,"Walter Torn"
"652","Sylvia Ortiz",2,"Henry Berry"
"653","Maria Miller",2,"Angela Witherspoon"
"654","Doris Reed",2,"Val Bolger"
"655","Mae Fletcher",2,"Walter Torn"
"656","Maurice Crawley",2,"Jayne Nolte"
"657","Bill Gavin",2,"Sean Guiness"
"658","Brett Cornwell",2,"Sean Guiness"
"659","Margie Wade",2,"Angela Witherspoon"
"660","Maxine Silva",2,"Gina Degeneres"
"661","Geraldine Perkins",2,"Sandra Kilmer"
"662","Christopher Greco",2,"Gina Degeneres"
"663","Bob Pfeiffer",2,"Walter Torn"
"664","Raymond Mcwhorter",2,"Matthew Carrey"
"665","Joseph Joy",2,"Gina Degeneres"
"666","Jesus Mccartney",2,"Henry Berry"
"667","Patricia Johnson",2,"Sandra Kilmer"
"668","Keith Rico",2,"Gina Degeneres"
"669","Aaron Selby",2,"Val Bolger"
"670","Michele Grant",2,"Matthew Carrey"
"671","Tracy Cole",2,"Henry Berry"
"672","Craig Morrell",2,"Henry Berry"
"673","Irma Pearson",2,"Matthew Carrey"
"674","June Carroll",2,"Sean Guiness"
"675","Stanley Scroggins",2,"Gina Degeneres"
"676","Delores Hansen",2,"Mary Keitel"
"677","Daryl Larue",2,"Sean Guiness"
"678","Jamie Waugh",2,"Angela Witherspoon"
"679","Terri Vasquez",2,"Jayne Nolte"
"680","Billie Horton",2,"Angela Witherspoon"
"681","Brenda Wright",2,"Matthew Carrey"
"682","Johnnie Chisholm",2,"Mary Keitel"
"683","Alan Kahn",2,"Mary Keitel"
"684","Deanna Byrd",2,"Gina Degeneres"
"685","Roland South",2,"Henry Berry"
"686","Ashley Richardson",2,"Walter Torn"
"687","Myrtle Fleming",2,"Angela Witherspoon"
"688","Diane Collins",2,"Mary Keitel"
"689","Hugh Waldrop",2,"Sean Guiness"
"690","Melanie Armstrong",2,"Mary Keitel"
"691","Marc Outlaw",2,"Henry Berry"
"692","Lena Jensen",2,"Gina Degeneres"
"693","Karl Seal",2,"Sandra Kilmer"
"694","Judith Cox",2,"Gina Degeneres"
"695","Myrtle Fleming",2,"Val Bolger"
"696","Yvonne Watkins",2,"Mary Keitel"
"697","Mattie Hoffman",2,"Val Bolger"
"698","Benjamin Varney",2,"Jayne Nolte"
"699","Ryan Salisbury",2,"Gina Degeneres"
"700","Anna Hill",2,"Walter Torn"
"701","Tommy Collazo",2,"Henry Berry"
"702","Dan Paine",2,"Henry Berry"
"703","Erica Matthews",2,"Matthew Carrey"
"704","Tracey Barrett",2,"Sandra Kilmer"
"705","Danielle Daniels",2,"Jayne Nolte"
"706","Dustin Gillette",2,"Jayne Nolte"
"707","Rosemary Schmidt",2,"Matthew Carrey"
"708","Lois Butler",2,"Gina Degeneres"
"709","Danielle Daniels",2,"Gina Degeneres"
"710","Cindy Fisher",2,"Matthew Carrey"
"711","Carrie Porter",2,"Gina Degeneres"
"712","Theodore Culp",2,"Mary Keitel"
"713","Reginald Kinder",2,"Walter Torn"
"714","Floyd Gandy",2,"Walter Torn"
"715","Phillip Holm",2,"Angela Witherspoon"
"716","Tom Milner",2,"Mary Keitel"
"717","Jessie Banks",2,"Sean Guiness"
"718","Jill Hawkins",2,"Sean Guiness"
"719","Max Pitt",2,"Sandra Kilmer"
"720","Lance Pemberton",2,"Matthew Carrey"
"721","Jason Morrissey",2,"Sandra Kilmer"
"722","Christy Vargas",2,"Jayne Nolte"
"723","Ron Deluca",2,"Jayne Nolte"
"724","Randy Gaither",2,"Matthew Carrey"
"725","Natalie Meyer",2,"Val Bolger"
"726","Philip Causey",2,"Jayne Nolte"
"727","Catherine Campbell",2,"Sean Guiness"
"728","Jesse Schilling",2,"Walter Torn"
"729","Bertha Ferguson",2,"Gina Degeneres"
"730","Isaac Oglesby",2,"Val Bolger"
"731","Ruben Geary",2,"Val Bolger"
"732","Norman Currier",2,"Matthew Carrey"
"733","Mark Rinehart",2,"Sandra Kilmer"
"734","Guy Brownlee",2,"Angela Witherspoon"
"735","Josephine Gomez",2,"Matthew Carrey"
"736","Helen Harris",2,"Sandra Kilmer"
"737","Veronica Stone",2,"Gina Degeneres"
"738","Jesus Mccartney",2,"Sean Guiness"
"739","Bobbie Craig",2,"Jayne Nolte"
"740","Harvey Guajardo",2,"Angela Witherspoon"
"741","Andre Rapp",2,"Walter Torn"
"742","Ivan Cromwell",2,"Walter Torn"
"743","Stella Moreno",2,"Val Bolger"
"744","Brittany Riley",2,"Henry Berry"
"745","Leroy Bustamante",2,"Matthew Carrey"
"746","Victor Barkley",2,"Mary Keitel"
"747","Harry Arce",2,"Sandra Kilmer"
"748","Natalie Meyer",2,"Angela Witherspoon"
"749","Kelly Knott",2,"Jayne Nolte"
"750","Holly Fox",2,"Sean Guiness"
"751","Ramona Hale",2,"Angela Witherspoon"
"752","Angela Hernandez",2,"Henry Berry"
"753","Donna Thompson",2,"Jayne Nolte"
"754","Stella Moreno",2,"Sandra Kilmer"
"755","Arnold Havens",2,"Henry Berry"
"756","Leslie Gordon",2,"Henry Berry"
"757","Margaret Moore",2,"Gina Degeneres"
"758","Rene Mcalister",2,"Angela Witherspoon"
"759","Jamie Rice",2,"Henry Berry"
"760","Salvador Teel",2,"Sean Guiness"
"761","Brett Cornwell",2,"Val Bolger"
"762","Maureen Little",2,"Sandra Kilmer"
"763","Katie Elliott",2,"Henry Berry"
"764","Wayne Truong",2,"Sean Guiness"
"765","Brittany Riley",2,"Sean Guiness"
"766","Allison Stanley",2,"Sean Guiness"
"767","Kelly Knott",2,"Henry Berry"
"768","Lena Jensen",2,"Angela Witherspoon"
"769","Grace Ellis",2,"Matthew Carrey"
"770","Chris Brothers",2,"Sean Guiness"
"771","Kathleen Adams",2,"Henry Berry"
"772","Victoria Gibson",2,"Mary Keitel"
"773","Barry Lovelace",2,"Angela Witherspoon"
"774","Austin Cintron",2,"Gina Degeneres"
"775","Ashley Richardson",2,"Jayne Nolte"
"776","Ricky Shelby",2,"Sean Guiness"
"777","Jeffrey Spear",2,"Sandra Kilmer"
"778","Patricia Johnson",2,"Mary Keitel"
"779","Velma Lucas",2,"Sean Guiness"
"780","Keith Rico",2,"Sean Guiness"
"781","Joel Francisco",2,"Mary Keitel"
"782","Annie Russell",2,"Matthew Carrey"
"783","Denise Kelly",2,"Sean Guiness"
"784","Karl Seal",2,"Matthew Carrey"
"785","Maurice Crawley",2,"Walter Torn"
"786","Sherri Rhodes",2,"Jayne Nolte"
"787","Ken Prewitt",2,"Mary Keitel"
"788","Oscar Aquino",2,"Angela Witherspoon"
"789","Ida Andrews",2,"Sandra Kilmer"
"790","Marlene Welch",2,"Sandra Kilmer"
"791","Wallace Slone",2,"Mary Keitel"
"792","Tracey Barrett",2,"Matthew Carrey"
"793","Wanda Patterson",2,"Matthew Carrey"
"794","Philip Causey",2,"Angela Witherspoon"
"795","Dale Ratcliff",2,"Mary Keitel"
"796","Roger Quintanilla",2,"Gina Degeneres"
"797","Duane Tubbs",2,"Gina Degeneres"
"798","Walter Perryman",2,"Sean Guiness"
"799","Arlene Harvey",2,"Matthew Carrey"
"800","Karl Seal",2,"Mary Keitel"
"801","Allan Cornish",2,"Mary Keitel"
"802","Erika Pena",2,"Sean Guiness"
"803","Sarah Lewis",2,"Sean Guiness"
"804","Pauline Henry",2,"Walter Torn"
"805","Alex Gresham",2,"Angela Witherspoon"
"806","Johnny Turpin",2,"Sean Guiness"
"807","Amanda Carter",2,"Walter Torn"
"808","Monica Hicks",2,"Gina Degeneres"
"809","Warren Sherrod",2,"Jayne Nolte"
"810","Brandy Graves",2,"Val Bolger"
"811","Claudia Fuller",2,"Mary Keitel"
"812","Jessie Banks",2,"Angela Witherspoon"
"813","Danielle Daniels",2,"Sean Guiness"
"814","Hazel Warren",2,"Gina Degeneres"
"815","Cheryl Murphy",2,"Mary Keitel"
"816","Nathaniel Adam",2,"Walter Torn"
"817","Alicia Mills",2,"Val Bolger"
"818","Ella Oliver",2,"Sandra Kilmer"
"819","Jim Rea",2,"Matthew Carrey"
"820","Gene Sanborn",2,"Henry Berry"
"821","Jason Morrissey",2,"Mary Keitel"
"822","Allison Stanley",2,"Gina Degeneres"
"823","Leonard Schofield",2,"Val Bolger"
"824","Alma Austin",2,"Mary Keitel"
"825","Linda Williams",2,"Sean Guiness"
"826","Renee Lane",2,"Walter Torn"
"827","Janet Phillips",2,"Sandra Kilmer"
"828","Gina Williamson",2,"Matthew Carrey"
"829","Ben Easter",2,"Gina Degeneres"
"830","Antonio Meek",2,"Gina Degeneres"
"831","Jessie Milam",2,"Mary Keitel"
"832","Mae Fletcher",2,"Sean Guiness"
"833","Colleen Burton",2,"Sean Guiness"
"834","Debbie Reyes",2,"Sandra Kilmer"
"835","Carl Artis",2,"Mary Keitel"
"836","Wesley Bull",2,"Matthew Carrey"
"837","Ricardo Meador",2,"Angela Witherspoon"
"838","Edna West",2,"Sandra Kilmer"
"839","Carrie Porter",2,"Sean Guiness"
"840","Stanley Scroggins",2,"Sean Guiness"
"841","Stacy Cunningham",2,"Matthew Carrey"
"842","Emma Boyd",2,"Angela Witherspoon"
"843","Harry Arce",2,"Mary Keitel"
"844","Carmen Owens",2,"Walter Torn"
"845","Harry Arce",2,"Val Bolger"
"846","Marion Snyder",2,"Sean Guiness"
"847","Carolyn Perez",2,"Matthew Carrey"
"848","Jon Wiles",2,"Val Bolger"
"849","Thelma Murray",2,"Jayne Nolte"
"850","Jill Hawkins",2,"Angela Witherspoon"
"851","Katie Elliott",2,"Sean Guiness"
"852","Marie Turner",2,"Gina Degeneres"
"853","Leslie Seward",2,"Walter Torn"
"854","Jackie Lynch",2,"Val Bolger"
"855","Robin Hayes",2,"Mary Keitel"
"856","Deborah Walker",2,"Gina Degeneres"
"857","Charles Kowalski",2,"Walter Torn"
"858","Christy Vargas",2,"Sean Guiness"
"859","Ron Deluca",2,"Sean Guiness"
"860","Eugene Culpepper",2,"Walter Torn"
"861","Rodney Moeller",2,"Mary Keitel"
"862","Maxine Silva",2,"Val Bolger"
"863","Debra Nelson",2,"Matthew Carrey"
"864","Ella Oliver",2,"Matthew Carrey"
"865","Ron Deluca",2,"Gina Degeneres"
"866","Lester Kraus",2,"Gina Degeneres"
"867","Marcus Hidalgo",2,"Matthew Carrey"
"868","Janice Ward",2,"Sandra Kilmer"
"869","Vera Mccoy",2,"Mary Keitel"
"870","Ronald Weiner",2,"Walter Torn"
"871","Beatrice Arnold",2,"Walter Torn"
"872","Amy Lopez",2,"Walter Torn"
"873","Roger Quintanilla",2,"Sean Guiness"
"874","Pearl Garza",2,"Sandra Kilmer"
"875","Roberta Harper",2,"Walter Torn"
"876","Bessie Morrison",2,"Gina Degeneres"
"877","Jennifer Davis",2,"Sandra Kilmer"
"878","Shawn Heaton",2,"Walter Torn"
"879","Phillip Holm",2,"Val Bolger"
"880","Rhonda Kennedy",2,"Jayne Nolte"
"881","Wayne Truong",2,"Val Bolger"
"882","Herman Devore",2,"Henry Berry"
"883","Steve Mackenzie",2,"Walter Torn"
"884","Howard Fortner",2,"Henry Berry"
"885","Darrell Power",2,"Gina Degeneres"
"886","Vivian Ruiz",2,"Matthew Carrey"
"887","Hector Poindexter",2,"Matthew Carrey"
"888","Beth Franklin",2,"Walter Torn"
"889","Leslie Seward",2,"Jayne Nolte"
"890","Terry Grissom",2,"Sean Guiness"
"891","Craig Morrell",2,"Val Bolger"
"892","Andrew Purdy",2,"Walter Torn"
"893","Constance Reid",2,"Henry Berry"
"894","Greg Robins",2,"Angela Witherspoon"
"895","Ashley Richardson",2,"Sean Guiness"
"896","Douglas Graf",2,"Jayne Nolte"
"897","Jessica Hall",2,"Angela Witherspoon"
"898","Vanessa Sims",2,"Mary Keitel"
"899","Heather Morris",2,"Matthew Carrey"
"900","Ian Still",2,"Val Bolger"
"901","Bernice Willis",2,"Walter Torn"
"902","Maurice Crawley",2,"Angela Witherspoon"
"903","Natalie Meyer",2,"Mary Keitel"
"904","Carmen Owens",2,"Jayne Nolte"
"905","Sean Douglass",2,"Angela Witherspoon"
"906","Ida Andrews",2,"Val Bolger"
"907","Cassandra Walters",2,"Gina Degeneres"
"908","Ruby Washington",2,"Mary Keitel"
"909","Alicia Mills",2,"Sandra Kilmer"
"910","Maria Miller",2,"Sandra Kilmer"
"911","Wallace Slone",2,"Matthew Carrey"
"912","Julie Sanchez",2,"Angela Witherspoon"
"913","Suzanne Nichols",2,"Matthew Carrey"
"914","Brandon Huey",2,"Sean Guiness"
"915","Ivan Cromwell",2,"Sean Guiness"
"916","Ernest Stepp",2,"Mary Keitel"
"917","Guy Brownlee",2,"Val Bolger"
"918","Becky Miles",2,"Walter Torn"
"919","Gwendolyn May",2,"Walter Torn"
"920","Samantha Duncan",2,"Mary Keitel"
"921","Megan Palmer",2,"Angela Witherspoon"
"922","Lorraine Stephens",2,"Mary Keitel"
"923","Cynthia Young",2,"Sandra Kilmer"
"924","Naomi Jennings",2,"Matthew Carrey"
"925","Elizabeth Brown",2,"Val Bolger"
"926","Tommy Collazo",2,"Angela Witherspoon"
"927","Dwight Lombardi",2,"Walter Torn"
"928","Michael Silverman",2,"Henry Berry"
"929","Gabriel Harder",2,"Matthew Carrey"
"930","Kathryn Coleman",2,"Walter Torn"
"931","Jordan Archuleta",2,"Walter Torn"
"932","Alfredo Mcadams",2,"Henry Berry"
"933","Tamara Nguyen",2,"Walter Torn"
"934","Jimmie Eggleston",2,"Matthew Carrey"
"935","Angel Barclay",2,"Henry Berry"
"936","Lucy Wheeler",2,"Matthew Carrey"
"937","Christine Roberts",2,"Val Bolger"
"938","Tina Simmons",2,"Henry Berry"
"939","Louise Jenkins",2,"Jayne Nolte"
"940","Frances Parker",2,"Matthew Carrey"
"941","Barry Lovelace",2,"Val Bolger"
"942","Allen Butterfield",2,"Angela Witherspoon"
"943","Tonya Chapman",2,"Walter Torn"
"944","Dana Hart",2,"Henry Berry"
"945","Juanita Mason",2,"Angela Witherspoon"
"946","Calvin Martel",2,"Walter Torn"
"947","Jacob Lance",2,"Val Bolger"
"948","Rene Mcalister",2,"Mary Keitel"
"949","Clyde Tobias",2,"Henry Berry"
"950","Walter Perryman",2,"Sandra Kilmer"
"951","Louis Leone",2,"Sandra Kilmer"
"952","Jon Wiles",2,"Matthew Carrey"
"953","Wendy Harrison",2,"Gina Degeneres"
"954","Jeanette Greene",2,"Sandra Kilmer"
"955","Allan Cornish",2,"Matthew Carrey"
"956","Renee Lane",2,"Henry Berry"
"957","Dwight Lombardi",2,"Gina Degeneres"
"958","Robin Hayes",2,"Matthew Carrey"
"959","Danny Isom",2,"Angela Witherspoon"
"960","Danielle Daniels",2,"Val Bolger"
"961","Clarence Gamez",2,"Mary Keitel"
"962","Carrie Porter",2,"Val Bolger"
"963","Cathy Spencer",2,"Val Bolger"
"964","Mildred Bailey",2,"Walter Torn"
"965","Derek Blakely",2,"Walter Torn"
"966","Casey Mena",2,"Sean Guiness"
"967","Billie Horton",2,"Sandra Kilmer"
"968","Ann Evans",2,"Sean Guiness"
"969","Eddie Tomlin",2,"Angela Witherspoon"
"970","Mitchell Westmoreland",2,"Matthew Carrey"
"971","Harry Arce",2,"Matthew Carrey"
"972","Dan Paine",2,"Sandra Kilmer"
"973","Lucille Holmes",2,"Gina Degeneres"
"974","Sharon Robinson",2,"Val Bolger"
"975","Sara Perry",2,"Walter Torn"
"976","Lawrence Lawton",2,"Sean Guiness"
"977","Bernice Willis",2,"Jayne Nolte"
"978","Steve Mackenzie",2,"Gina Degeneres"
"979","Patrick Newsom",2,"Val Bolger"
"980","Marsha Douglas",2,"Henry Berry"
"981","Peggy Myers",2,"Val Bolger"
"982","Michelle Clark",2,"Sean Guiness"
"983","James Gannon",2,"Walter Torn"
"984","Fernando Churchill",2,"Gina Degeneres"
"985","Charles Kowalski",2,"Henry Berry"
"986","Jorge Olivares",2,"Walter Torn"
"987","Andrew Purdy",2,"Gina Degeneres"
"988","Phyllis Foster",2,"Angela Witherspoon"
"989","Warren Sherrod",2,"Sean Guiness"
"990","Alma Austin",2,"Matthew Carrey"
"991","Lillian Griffin",2,"Henry Berry"
"992","Max Pitt",2,"Matthew Carrey"
"993","Raul Fortier",2,"Matthew Carrey"
"994","Jeff East",2,"Gina Degeneres"
"995","Oscar Aquino",2,"Val Bolger"
"996","Ian Still",2,"Sandra Kilmer"
"997","Enrique Forsythe",2,"Gina Degeneres"
"998","Clifford Bowens",2,"Angela Witherspoon"
"999","Rick Mattox",2,"Matthew Carrey"
"1000","Annette Olson",2,"Matthew Carrey"
"1001","Julian Vest",2,"Val Bolger"
"1002","Mathew Bolin",2,"Walter Torn"
"1003","Albert Crouse",2,"Gina Degeneres"
"1004","Cody Nolen",2,"Walter Torn"
"1005","Kelly Knott",2,"Angela Witherspoon"
"1006","Linda Williams",2,"Angela Witherspoon"
"1007","Tina Simmons",2,"Walter Torn"
"1008","Kathy James",2,"Walter Torn"
"1009","Violet Rodriquez",2,"Matthew Carrey"
"1010","Beatrice Arnold",2,"Jayne Nolte"
"1011","Salvador Teel",2,"Sandra Kilmer"
"1012","Benjamin Varney",2,"Angela Witherspoon"
"1013","Courtney Day",2,"Walter Torn"
"1014","Terrance Roush",2,"Val Bolger"
"1015","Christy Vargas",2,"Val Bolger"
"1016","Willie Markham",2,"Walter Torn"
"1017","Regina Berry",2,"Mary Keitel"
"1018","Tim Cary",2,"Sean Guiness"
"1019","Mae Fletcher",2,"Angela Witherspoon"
"1020","Nancy Thomas",2,"Jayne Nolte"
"1021","Ernest Stepp",2,"Matthew Carrey"
"1022","Daisy Bates",2,"Mary Keitel"
"1023","Gordon Allard",2,"Walter Torn"
"1024","Seth Hannon",2,"Matthew Carrey"
"1025","Sarah Lewis",2,"Sandra Kilmer"
"1026","Terri Vasquez",2,"Sandra Kilmer"
"1027","Joy George",2,"Sean Guiness"
"1028","Tanya Gilbert",2,"Walter Torn"
"1029","Julia Flores",2,"Walter Torn"
"1030","Melvin Ellington",2,"Sean Guiness"
"1031","Lisa Anderson",2,"Angela Witherspoon"
"1032","Angel Barclay",2,"Jayne Nolte"
"1033","Marion Ocampo",2,"Matthew Carrey"
"1034","Roberta Harper",2,"Henry Berry"
"1035","Jesus Mccartney",2,"Val Bolger"
"1036","Phillip Holm",2,"Matthew Carrey"
"1037","Sonia Gregory",2,"Gina Degeneres"
"1038","Valerie Black",2,"Sean Guiness"
"1039","Mabel Holland",2,"Sean Guiness"
"1040","Danielle Daniels",2,"Sandra Kilmer"
"1041","John Farnsworth",2,"Walter Torn"
"1042","Linda Williams",2,"Sandra Kilmer"
"1043","Jessie Banks",2,"Mary Keitel"
"1044","Joe Gilliland",2,"Henry Berry"
"1045","Louise Jenkins",2,"Sean Guiness"
"1046","Jesse Schilling",2,"Angela Witherspoon"
"1047","Nina Soto",2,"Mary Keitel"
"1048","Chad Carbone",2,"Walter Torn"
"1049","Dave Gardiner",2,"Sean Guiness"
"1050","Lloyd Dowd",2,"Jayne Nolte"
"1051","Lena Jensen",2,"Sandra Kilmer"
"1052","Patrick Newsom",2,"Sandra Kilmer"
"1053","George Linton",2,"Gina Degeneres"
"1054","Dustin Gillette",2,"Sandra Kilmer"
"1055","Leon Bostic",2,"Mary Keitel"
"1056","Jill Hawkins",2,"Mary Keitel"
"1057","Jennifer Davis",2,"Mary Keitel"
"1058","Brandon Huey",2,"Val Bolger"
"1059","Felicia Sutton",2,"Henry Berry"
"1060","Sally Pierce",2,"Henry Berry"
"1061","Vernon Chapa",2,"Val Bolger"
"1062","Lucille Holmes",2,"Henry Berry"
"1063","Jerry Jordon",2,"Walter Torn"
"1064","Myrtle Fleming",2,"Matthew Carrey"
"1065","Agnes Bishop",2,"Val Bolger"
"1066","Cindy Fisher",2,"Henry Berry"
"1067","Rose Howard",2,"Henry Berry"
"1068","Sergio Stanfield",2,"Jayne Nolte"
"1069","Andy Vanhorn",2,"Walter Torn"
"1070","Cecil Vines",2,"Jayne Nolte"
"1071","Daryl Larue",2,"Mary Keitel"
"1072","Loretta Carpenter",2,"Jayne Nolte"
"1073","Lauren Hudson",2,"Mary Keitel"
"1074","Glenn Pullen",2,"Sean Guiness"
"1075","Ricardo Meador",2,"Mary Keitel"
"1076","Brandon Huey",2,"Angela Witherspoon"
"1077","George Linton",2,"Jayne Nolte"
"1078","Kathy James",2,"Gina Degeneres"
"1079","Dawn Sullivan",2,"Walter Torn"
"1080","Sara Perry",2,"Jayne Nolte"
"1081","Charlotte Hunter",2,"Jayne Nolte"
"1082","Louis Leone",2,"Matthew Carrey"
"1083","Kenneth Gooden",2,"Henry Berry"
"1084","Roberto Vu",2,"Angela Witherspoon"
"1085","Anna Hill",2,"Angela Witherspoon"
"1086","Todd Tan",2,"Val Bolger"
"1087","Shane Millard",2,"Walter Torn"
"1088","Kristin Johnston",2,"Henry Berry"
"1089","Ramon Choate",2,"Henry Berry"
"1090","Tina Simmons",2,"Gina Degeneres"
"1091","Franklin Troutman",2,"Gina Degeneres"
"1092","Billie Horton",2,"Mary Keitel"
"1093","Jessica Hall",2,"Mary Keitel"
"1094","Lucille Holmes",2,"Sean Guiness"
"1095","Allison Stanley",2,"Mary Keitel"
"1096","Brittany Riley",2,"Mary Keitel"
"1097","Jerry Jordon",2,"Gina Degeneres"
"1098","Marc Outlaw",2,"Angela Witherspoon"
"1099","Sara Perry",2,"Angela Witherspoon"
"1100","Jane Bennett",2,"Walter Torn"
"1101","Stacey Montgomery",2,"Jayne Nolte"
"1102","Jessica Hall",2,"Val Bolger"
"1103","Elmer Noe",2,"Sandra Kilmer"
"1104","Donald Mahon",2,"Gina Degeneres"
"1105","Salvador Teel",2,"Mary Keitel"
"1106","Miguel Betancourt",2,"Sandra Kilmer"
"1107","Lawrence Lawton",2,"Val Bolger"
"1108","Bernice Willis",2,"Sean Guiness"
"1109","Charlie Bess",2,"Gina Degeneres"
"1110","Charles Kowalski",2,"Gina Degeneres"
"1111","Clara Shaw",2,"Sean Guiness"
"1112","Chris Brothers",2,"Mary Keitel"
"1113","Rosemary Schmidt",2,"Walter Torn"
"1114","Jeff East",2,"Sean Guiness"
"1115","Irma Pearson",2,"Walter Torn"
"1116","Laurie Lawrence",2,"Gina Degeneres"
"1117","Brad Mccurdy",2,"Henry Berry"
"1118","Felix Gaffney",2,"Jayne Nolte"
"1119","Regina Berry",2,"Matthew Carrey"
"1120","Kristin Johnston",2,"Walter Torn"
"1121","Curtis Irby",2,"Walter Torn"
"1122","Barry Lovelace",2,"Matthew Carrey"
"1123","Gwendolyn May",2,"Sean Guiness"
"1124","James Gannon",2,"Henry Berry"
"1125","Donald Mahon",2,"Jayne Nolte"
"1126","Marilyn Ross",2,"Mary Keitel"
"1127","Timothy Bunn",2,"Val Bolger"
"1128","Emily Diaz",2,"Walter Torn"
"1129","Micheal Forman",2,"Val Bolger"
"1130","Joy George",2,"Gina Degeneres"
"1131","Lillie Kim",2,"Gina Degeneres"
"1132","Kathryn Coleman",2,"Sean Guiness"
"1133","Chad Carbone",2,"Gina Degeneres"
"1134","Mario Cheatham",2,"Henry Berry"
"1135","Minnie Romero",2,"Val Bolger"
"1136","Cathy Spencer",2,"Matthew Carrey"
"1137","Ross Grey",2,"Gina Degeneres"
"1138","Charlie Bess",2,"Jayne Nolte"
"1139","Holly Fox",2,"Mary Keitel"
"1140","Norma Gonzales",2,"Walter Torn"
"1141","Mildred Bailey",2,"Henry Berry"
"1142","Minnie Romero",2,"Angela Witherspoon"
"1143","Crystal Ford",2,"Henry Berry"
"1144","Marjorie Tucker",2,"Gina Degeneres"
"1145","Raymond Mcwhorter",2,"Jayne Nolte"
"1146","Jeremy Hurtado",2,"Henry Berry"
"1147","Justin Ngo",2,"Mary Keitel"
"1148","Dennis Gilman",2,"Jayne Nolte"
"1149","Alice Stewart",2,"Gina Degeneres"
"1150","Lena Jensen",2,"Matthew Carrey"
"1151","Evelyn Morgan",2,"Gina Degeneres"
"1152","Clyde Tobias",2,"Jayne Nolte"
"1153","Morris Mccarter",2,"Henry Berry"
"1154","Hazel Warren",2,"Val Bolger"
"1155","Virginia Green",2,"Henry Berry"
"1156","Ian Still",2,"Mary Keitel"
"1157","Ricky Shelby",2,"Mary Keitel"
"1158","Herman Devore",2,"Angela Witherspoon"
"1159","Reginald Kinder",2,"Sandra Kilmer"
"1160","Patsy Davidson",2,"Mary Keitel"
"1161","Thelma Murray",2,"Sean Guiness"
"1162","Dawn Sullivan",2,"Angela Witherspoon"
"1163","Tracy Cole",2,"Matthew Carrey"
"1164","Tom Milner",2,"Henry Berry"
"1165","Connie Wallace",2,"Sean Guiness"
"1166","Vickie Brewer",2,"Jayne Nolte"
